"Timestamp","What PC are you?","When you came to UW, were you already planning to join a fraternity?","If you answered no or maybe, what changed your mind/convinced you?","What were you looking for in a frat when you were rushing?","Which of the following best matches why you signed Delts? (Select all that apply)","Which is the PRIMARY reason for joining Delts?","What other houses did you rush?","What other houses did you get bids from?","What is your favorite thing about being a Delt?","Briefly describe delts"
"2022/07/06 9:54:01 PM MDT","PC 21","Maybe","Lack of social scene outside of Greek life","Just a really good group of guys. It was good to have girls around but I wasn’t necessarily  judging the house based on the hotness of chicks. I cared way more about vibing with as many dudes as possible.","Facility (physical house);Guys in the house/brotherhood;Location","Guys in the house/brotherhood","None lol","Didn’t rush any others lol","Men - I love men","Bunch of down to earth dudes that hang out with mid chicks💯"
"2022/07/06 9:56:23 PM MDT","PC 21","No","My brother/ hearing about bad social dorm life","Guys that are hella chill and somewhere I fit in ","Friends (non-family) already in the house;Legacy/family connections;Housekeeping/house cleanliness;Mikki","Legacy/family connections","Phi Delts ","N/A","The FOOD","Guys that are hella chill who just wanna have a good time but are hella respectful"
"2022/07/06 9:56:23 PM MDT","PC 21","No","It looked fun","Something active, where people did a lot of cool stuff and also had lives outside of the house","Guys in the house/brotherhood;Facility (physical house)","Guys in the house/brotherhood","Sig chi, asigs","Asigs","Almost everyone is doing interesting stuff with their lives so it’s motivating and makes things fun","An actually diverse group of people doing cool things"
"2022/07/06 9:59:04 PM MDT","PC 20","Maybe","A zoom call with brenden maltos","Chill dudes who shot the shits","Guys in the house/brotherhood;Friends (non-family) already in the house;Because I got a bid","Guys in the house/brotherhood","None","None","Watching football","Guys who aren't dickheads thats genuinely like each other"
"2022/07/06 10:16:04 PM MDT","PC 21","Maybe","Boring geed life","Just a place where I had fun and guys weren’t too fratty","Friends (non-family) already in the house;Guys in the house/brotherhood","Guys in the house/brotherhood","None","None","Mikkis food","Messy"
"2022/07/06 10:29:22 PM MDT","PC 19","No","Delts. Clean and not filled w douches","Good living situation plus good grades plus not gonna consume my life","Facility (physical house);Housekeeping/house cleanliness;School, Friendly","Guys in the house/brotherhood","N/A","N/A","I can be myself ",""
"2022/07/07 11:19:53 AM MDT","PC 20","Yes","","I was looking for brotherhood and a good support system.","Mikki;Guys in the house/brotherhood;Facility (physical house)","Guys in the house/brotherhood","Zetes, K Sigs, TDX","Zetes, TDX, K Sigs","The brotherhood and the camaraderie of the house ",""
"2022/07/07 12:23:54 PM MDT","PC 21","No","Better social scene","Cool people and a fun time ","Because I got a bid;Guys in the house/brotherhood;Girls that come over;Reputation","Guys in the house/brotherhood","Sigep, Pike, ksigs, pikapps","None","The fun times","Chill and easygoing, but people know how to have a good time."
"2022/09/26 6:00:25 PM MDT","PC 22","No","The boys were dope. Not like stereotypical frat dudes you see in movies. ","Nothing really, I didn’t want to join one so I was just coming out for fun. ","Guys in the house/brotherhood","Guys in the house/brotherhood","None","Phi pools","The boys are all real and dope. A lot of us have similar interests.","A house that is full of dudes who just get along really well and share many interests while being super diverse."
"2022/09/26 6:01:49 PM MDT","PC 21","Yes","","Diversity, Academics, physical house","Housekeeping/house cleanliness;Facility (physical house);Guys in the house/brotherhood;More diverse than most to all frats","Guys in the house/brotherhood","Phi pools, TKE","Phi pools","It’s not too fratty","Chill people that want to have a good time and don’t need others to have fun"
